House_ID,City,Neighborhood,Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Garage_Size,Has_Pool,Distance_to_Center,Condition,Price
74,Los Angeles,Urban,2439.0,3,2,1996,1,Yes,26.93,Good,442400.0
75,Phoenix,Urban,3036.0,4,1,1970,0,No,17.55,Fair,552500.0
76,Los Angeles,Urban,1643.0,2,3,2005,3,No,16.06,Excellent,355000.0
77,New York,Rural,1257.0,5,2,2015,2,No,5.23,Fair,365000.0
78,Houston,Downtown,3154.0,5,1,2008,2,Yes,21.61,Good,583600.0
79,Houston,Urban,2801.0,5,2,1956,3,No,21.22,Good,510500.0
80,Houston,Urban,1778.0,5,3,1998,1,Yes,29.03,Fair,380700.0
81,Phoenix,Suburb,2499.0,5,1,1965,0,No,9.36,Excellent,408500.0
82,New York,Rural,3400.0,5,3,1966,2,No,22.82,Good,611200.0
83,Phoenix,Urban,1548.0,1,1,1983,1,Yes,13.3,Good,277500.0
84,Phoenix,Rural,3814.0,3,3,1982,0,Yes,16.97,Excellent,679500.0
85,New York,Urban,1780.0,5,1,1975,0,Yes,24.59,Fair,380300.0
86,New York,Downtown,3011.0,3,2,2015,2,No,7.05,Excellent,580400.0
87,New York,Downtown,2237.0,5,1,2012,3,Yes,10.61,Fair,467000.0
88,New York,Urban,2983.0,4,2,1990,2,No,23.31,Fair,537700.0
89,Houston,Downtown,2065.0,5,1,2007,2,No,17.33,Excellent,431500.0
90,Chicago,Urban,2370.0,2,1,1959,2,No,3.23,Excellent,438500.0
91,Chicago,Downtown,2533.0,1,3,1964,1,Yes,13.19,Fair,450700.0
92,New York,Suburb,1698.0,4,3,1991,3,Yes,17.81,Good,361300.0
93,Chicago,Suburb,2499.0,4,3,2006,1,Yes,27.33,Excellent,579500.0
94,Chicago,Suburb,2089.0,2,1,1966,2,No,6.06,Fair,389600.0
95,New York,Rural,2317.0,5,1,2009,3,No,24.28,Poor,452900.0
96,Chicago,Rural,1705.0,1,1,1958,0,Yes,4.35,Good,266700.0
97,Phoenix,Suburb,517.375,4,2,1985,3,No,7.65,Fair,189800.0
98,Los Angeles,Rural,2347.0,1,2,2022,2,No,7.68,Fair,413400.0
99,Los Angeles,Downtown,4430.0,4,1,1985,3,No,26.39,Excellent,712600.0
100,New York,Urban,3128.0,5,3,1997,0,Yes,6.37,Poor,653900.0
101,Houston,Urban,2485.0,4,3,2000,0,No,23.72,Excellent,526100.0
102,New York,Urban,2290.0,4,3,2019,3,No,14.12,Good,508200.0
103,Houston,Suburb,2518.0,3,1,2023,0,Yes,29.97,Good,403100.0
104,Los Angeles,Rural,2938.0,5,3,2017,1,Yes,25.25,Good,579100.0
105,New York,Downtown,1555.0,2,1,1971,3,Yes,22.32,Good,258300.0
106,Phoenix,Downtown,3391.0,2,2,1955,0,Yes,26.19,Fair,519700.0
107,Chicago,Suburb,3072.0,5,3,1975,0,Yes,19.2,Fair,599900.0
108,Houston,Downtown,3075.0,2,2,1952,3,Yes,25.39,Good,491700.0
109,Chicago,Downtown,2851.0,5,3,2001,1,No,8.2,Fair,577300.0
110,Chicago,Downtown,2516.0,2,1,2023,3,No,3.38,Poor,444300.0
111,New York,Downtown,3038.0,3,1,2009,0,No,18.67,Excellent,526700.0
112,Chicago,Rural,2973.0,2,1,2012,3,No,13.32,Excellent,518400.0
113,Phoenix,Downtown,2217.0,4,1,2014,0,Yes,13.08,Fair,444600.0
114,Chicago,Urban,2499.0,5,3,2001,2,No,16.04,Poor,473500.0
115,New York,Suburb,2581.0,1,2,1963,3,Yes,11.16,Good,439400.0
116,Phoenix,Rural,3739.0,1,1,2021,3,Yes,18.97,Excellent,601200.0
117,Los Angeles,Downtown,1509.0,5,3,2017,0,No,1.4,Fair,402800.0
118,Chicago,Rural,2499.0,3,2,1977,0,No,29.11,Fair,230600.0
119,New York,Downtown,2632.0,2,1,2020,0,Yes,27.78,Excellent,425900.0
120,Los Angeles,Urban,2541.0,3,2,1959,0,Yes,28.09,Excellent,452800.0
121,Los Angeles,Suburb,2639.0,1,1,2006,3,Yes,11.27,Good,462300.0
122,Houston,Downtown,2695.0,5,2,2015,0,Yes,16.19,Fair,551700.0
123,Phoenix,Downtown,2321.0,5,2,1999,3,No,28.65,Good,450900.0
124,Chicago,Downtown,3692.0,3,1,1963,1,Yes,27.12,Good,612700.0
125,New York,Downtown,1219.0,3,3,1965,3,No,23.81,Fair,245600.0
126,Houston,Suburb,1837.0,2,2,2003,0,Yes,12.52,Fair,345000.0
127,Phoenix,Suburb,2417.0,4,1,1992,0,Yes,17.15,Fair,455800.0
128,Houston,Urban,1185.0,4,2,1991,1,Yes,23.89,Good,240700.0
129,Phoenix,Suburb,2359.0,2,2,1971,3,No,8.55,Good,414700.0
130,Phoenix,Downtown,3829.0,4,3,2017,1,Yes,18.98,Excellent,704300.0
131,Chicago,Urban,2517.0,1,2,1968,3,No,24.92,Good,392800.0
132,Phoenix,Urban,2685.0,4,2,2015,0,No,21.37,Excellent,500700.0
133,Houston,Urban,1492.0,2,1,1988,3,No,14.64,Excellent,312100.0
134,Phoenix,Downtown,2007.0,4,1,2022,0,Yes,17.75,Fair,430000.0
135,Chicago,Rural,2200.0,5,3,1968,0,No,29.67,Fair,463400.0
136,Chicago,Downtown,2246.0,3,2,1986,2,No,18.26,Good,409400.0
137,Houston,Suburb,3525.0,1,2,2003,2,Yes,23.68,Poor,563600.0
138,Los Angeles,Suburb,2946.0,5,2,1974,3,Yes,21.93,Excellent,577100.0
139,Los Angeles,Downtown,1611.0,5,3,1967,0,No,21.19,Poor,367000.0
140,Phoenix,Downtown,2697.0,2,2,1972,1,No,21.63,Fair,439400.0
141,New York,Urban,2899.0,3,1,1960,0,Yes,13.91,Good,485200.0
142,Phoenix,Downtown,3412.0,3,3,1988,1,No,14.49,Good,615000.0
143,Houston,Urban,3764.0,1,1,2017,3,No,14.3,Good,617200.0
144,Houston,Suburb,1688.0,2,1,1974,3,No,1.48,Good,331500.0
145,Houston,Urban,1851.0,1,3,2012,1,Yes,7.61,Fair,368700.0
146,Houston,Downtown,1494.0,4,1,1979,1,No,5.06,Fair,371600.0
147,Houston,Suburb,2313.0,5,2,1994,0,Yes,26.65,Excellent,438400.0
148,Chicago,Rural,2873.0,1,3,2010,3,Yes,8.61,Fair,531800.0
149,Los Angeles,Urban,3290.0,5,1,2000,0,Yes,4.58,Fair,630200.0
150,Houston,Suburb,2439.0,2,2,1958,1,No,4.03,Good,444200.0
151,New York,Urban,2244.0,4,2,1951,2,Yes,21.15,Fair,431900.0
152,New York,Suburb,2621.0,2,1,1954,2,No,0.68,Good,435000.0
153,New York,Suburb,1832.0,4,2,2011,2,Yes,14.4,Good,385300.0
154,New York,Urban,4172.0,4,3,2018,1,No,4.01,Good,787800.0
155,Chicago,Rural,1214.0,5,1,1986,0,No,25.57,Good,306600.0
156,New York,Suburb,2648.0,2,2,1954,3,No,28.77,Fair,446700.0
157,Houston,Suburb,4119.0,2,2,2008,1,Yes,28.78,Good,691400.0
158,Phoenix,Suburb,2505.0,1,1,1986,2,No,13.54,Poor,397300.0
159,New York,Rural,2348.0,2,1,1958,0,No,19.51,Poor,369400.0
160,Chicago,Rural,2214.0,1,1,1971,3,Yes,18.19,Good,339100.0
161,Chicago,Downtown,2356.0,3,1,1976,3,Yes,10.83,Fair,431900.0
162,New York,Urban,3598.0,3,3,1959,1,No,13.6,Good,607200.0
163,Phoenix,Rural,731.0,3,1,2010,1,Yes,2.4,Good,239300.0
164,New York,Urban,3727.0,2,3,2000,3,Yes,23.97,Excellent,604200.0
165,Chicago,Downtown,1361.0,2,3,1959,3,Yes,7.6,Good,306900.0
166,Los Angeles,Urban,2287.0,1,1,1955,2,No,14.09,Poor,378400.0
167,Houston,Rural,2157.0,4,3,2011,3,Yes,14.68,Fair,446300.0
168,Chicago,Urban,2971.0,1,1,1954,1,No,17.04,Fair,480500.0
169,New York,Rural,1222.0,3,1,2019,0,Yes,24.63,Fair,251500.0
170,Houston,Urban,2870.0,1,2,2012,2,Yes,20.91,Fair,473800.0
171,New York,Rural,4119.0,4,1,2005,2,No,20.06,Poor,706900.0
172,New York,Rural,1409.0,2,2,2008,3,Yes,16.04,Good,286200.0
173,Los Angeles,Urban,2652.0,1,3,2012,0,Yes,3.33,Good,496500.0
174,Houston,Downtown,1970.0,3,2,2008,2,Yes,12.36,Good,399500.0
175,Houston,Suburb,2841.0,3,3,2000,1,Yes,28.74,Good,498300.0
176,Los Angeles,Downtown,2515.0,2,1,1986,3,No,29.87,Good,400100.0
177,Chicago,Urban,2499.0,1,3,1953,1,No,22.05,Good,324900.0
178,New York,Downtown,2890.0,4,3,1997,3,No,7.21,Good,605700.0
179,Phoenix,Rural,3943.0,2,1,1981,2,No,3.51,Poor,659400.0
180,New York,Suburb,2347.0,1,3,2000,3,No,12.74,Good,420000.0
181,New York,Urban,3076.0,5,1,2001,0,No,25.77,Good,586100.0
182,Chicago,Urban,1465.0,3,2,2023,1,No,21.79,Fair,310800.0
183,New York,Urban,1735.0,4,1,1983,0,Yes,26.57,Poor,318300.0
184,Los Angeles,Suburb,2878.0,4,1,1985,1,No,18.67,Fair,503300.0
185,Los Angeles,Rural,2499.0,4,3,2019,1,No,4.34,Good,695600.0
186,Houston,Urban,2784.0,3,2,1992,3,No,3.89,Good,541900.0
187,Phoenix,Downtown,2250.0,1,1,1965,2,Yes,1.92,Fair,362100.0
188,New York,Urban,2499.0,2,2,2008,2,No,17.23,Fair,472600.0
189,New York,Urban,1500.0,1,2,2002,0,No,7.67,Excellent,297300.0
190,Chicago,Urban,2984.0,2,3,1968,3,No,22.16,Fair,503700.0
191,Los Angeles,Urban,3206.0,4,1,1990,2,Yes,20.74,Fair,564000.0
192,Phoenix,Rural,2138.0,1,3,1986,1,No,9.88,Fair,408900.0
193,Houston,Downtown,2124.0,4,1,2003,1,Yes,5.72,Good,434600.0
194,Los Angeles,Rural,2713.0,5,2,2004,3,Yes,3.52,Good,567000.0
195,Houston,Downtown,2151.0,4,1,1968,0,Yes,22.25,Good,410900.0
196,Chicago,Urban,2447.0,4,1,2011,3,Yes,13.79,Excellent,483200.0
197,Chicago,Suburb,4180.0,2,2,2008,0,No,10.04,Good,700200.0
198,New York,Rural,2302.0,5,2,2014,3,Yes,25.77,Poor,458100.0
199,Phoenix,Suburb,2213.0,4,1,2017,1,Yes,18.01,Good,410700.0
200,Houston,Rural,1982.0,4,3,1977,3,No,15.78,Poor,426500.0
201,Los Angeles,Urban,3095.0,5,1,1967,2,Yes,22.43,Good,566700.0
202,Chicago,Rural,2355.0,5,2,1975,2,Yes,24.56,Fair,445600.0
203,New York,Urban,1981.0,1,3,1968,3,Yes,20.74,Good,377200.0
204,New York,Rural,3557.0,2,2,2004,0,Yes,13.48,Fair,653200.0
205,Houston,Urban,3636.0,5,2,2006,0,Yes,11.69,Excellent,693400.0
206,Chicago,Urban,2020.0,5,3,1955,1,Yes,23.26,Fair,405000.0
207,Phoenix,Downtown,1007.0,3,2,1950,1,No,15.78,Good,226600.0
208,Chicago,Urban,3306.0,5,2,1957,0,No,21.28,Fair,587500.0
209,Houston,Downtown,1952.0,2,2,2000,3,No,26.77,Excellent,361500.0
210,Houston,Urban,2499.0,4,2,1974,1,No,27.52,Good,552400.0
211,Chicago,Suburb,924.0,4,2,1996,0,Yes,8.69,Fair,270800.0
212,Houston,Urban,3214.0,4,2,2004,0,Yes,6.04,Excellent,646400.0
213,Chicago,Suburb,1531.0,4,2,2013,3,Yes,8.21,Fair,358400.0
214,Los Angeles,Suburb,3085.0,3,2,1959,2,No,22.67,Good,516200.0
215,Chicago,Urban,2511.0,5,2,2005,0,No,11.42,Good,537200.0
216,Chicago,Suburb,1737.0,4,1,1961,1,Yes,5.61,Poor,356500.0
217,Houston,Downtown,2174.0,1,1,1986,3,Yes,3.4,Excellent,407400.0
218,Houston,Rural,3049.0,4,2,2020,3,No,10.16,Fair,610000.0
219,New York,Urban,2585.0,5,1,1966,3,No,4.52,Fair,509100.0
220,New York,Suburb,2968.0,4,3,2010,2,No,5.11,Excellent,575800.0
221,Los Angeles,Urban,4081.0,3,1,1959,2,No,20.67,Good,641500.0
222,New York,Downtown,1249.0,2,2,1980,1,Yes,1.08,Poor,276000.0
223,Chicago,Urban,3794.0,2,2,2009,1,No,3.97,Fair,679700.0
224,Houston,Urban,2583.0,5,1,2019,3,No,25.41,Good,515700.0
225,New York,Suburb,1781.0,2,2,1966,1,Yes,25.42,Poor,304100.0
226,New York,Downtown,2499.0,2,3,1999,0,Yes,10.21,Excellent,304100.0
227,Los Angeles,Rural,2349.0,1,3,1986,2,Yes,3.09,Good,440100.0
228,Los Angeles,Rural,3237.0,5,2,2011,3,No,21.3,Fair,616800.0
229,Chicago,Suburb,2398.0,5,3,2021,3,No,11.12,Fair,550500.0
230,Houston,Urban,3709.0,2,3,1978,0,No,1.84,Good,683400.0
231,Los Angeles,Suburb,1339.0,2,1,1981,0,No,5.16,Fair,259000.0
232,New York,Suburb,2490.0,2,3,1960,0,Yes,4.55,Good,474200.0
233,Houston,Suburb,1498.0,3,1,1955,0,Yes,17.88,Excellent,266600.0
234,Houston,Urban,2791.0,4,2,1984,3,No,26.99,Good,492300.0
235,New York,Downtown,2499.0,3,1,1982,2,No,23.9,Good,553300.0
236,Los Angeles,Suburb,2163.0,5,2,1967,2,No,16.62,Fair,439700.0
237,New York,Urban,517.375,1,2,1986,0,Yes,12.95,Good,127200.0
238,Houston,Downtown,2659.0,4,2,1962,1,No,18.75,Good,498400.0
239,Phoenix,Suburb,2849.0,1,2,2023,3,Yes,13.59,Good,498500.0
240,Phoenix,Rural,2823.0,5,2,2013,2,No,7.76,Poor,587400.0
241,Chicago,Downtown,3489.0,5,1,1950,0,Yes,20.54,Excellent,613300.0
242,New York,Suburb,1643.0,1,2,2012,1,Yes,26.26,Fair,270700.0
243,New York,Downtown,3044.0,1,3,1983,1,No,11.5,Good,535400.0
244,Chicago,Downtown,3454.0,1,3,1959,0,Yes,25.33,Good,539400.0
245,Chicago,Downtown,1077.0,5,2,1956,3,Yes,13.22,Good,265100.0
246,Chicago,Downtown,2756.0,2,3,2005,2,No,12.34,Fair,527000.0
247,Houston,Downtown,2097.0,1,1,1986,1,Yes,1.34,Good,369000.0
248,New York,Downtown,2435.0,4,1,1978,2,No,21.01,Poor,461900.0
249,Houston,Suburb,2778.0,5,2,1961,2,Yes,24.32,Good,533000.0
250,Chicago,Rural,2110.0,3,2,1966,1,Yes,20.07,Poor,380200.0
251,New York,Urban,2499.0,3,2,1986,0,Yes,4.97,Fair,426400.0
252,Houston,Downtown,2499.0,4,3,1975,1,Yes,3.55,Fair,516600.0
253,Houston,Urban,1630.0,2,3,1961,1,No,17.4,Excellent,312200.0
254,Chicago,Suburb,1631.0,1,1,1970,3,No,12.34,Good,285400.0
255,New York,Downtown,3043.0,5,3,1991,2,No,13.16,Good,639200.0
256,Chicago,Rural,1581.0,1,1,2010,0,Yes,29.05,Good,271200.0
257,New York,Urban,3033.0,5,3,2007,2,Yes,21.86,Excellent,596900.0
258,Phoenix,Downtown,2870.0,3,1,2003,1,No,12.65,Fair,521200.0
259,Los Angeles,Suburb,1119.0,1,2,1983,0,No,1.06,Good,221500.0
260,Los Angeles,Rural,1958.0,4,3,1956,0,No,1.51,Good,446800.0
261,Los Angeles,Urban,3455.0,2,1,1984,0,No,20.7,Poor,575300.0
262,Chicago,Urban,1715.0,4,3,1964,0,Yes,25.21,Fair,356100.0
263,Phoenix,Downtown,2128.0,2,2,2014,3,No,21.38,Fair,402200.0
264,New York,Rural,2870.0,1,1,1974,0,Yes,12.47,Poor,435200.0
265,Houston,Rural,3127.0,1,3,2008,1,No,1.42,Fair,557000.0
266,New York,Rural,2299.0,2,3,1955,3,Yes,29.04,Poor,414300.0
267,Houston,Rural,2022.0,3,2,2001,1,No,29.6,Good,368700.0
268,New York,Suburb,3638.0,5,2,1970,1,No,16.71,Fair,676600.0
269,Phoenix,Rural,3891.0,4,1,2020,2,Yes,2.58,Fair,710300.0
270,Houston,Urban,3283.0,4,3,1981,0,Yes,16.46,Excellent,606400.0
271,Chicago,Urban,2499.0,4,3,2002,0,No,26.82,Good,523400.0
272,New York,Suburb,1853.0,1,2,2008,1,Yes,20.56,Fair,326500.0
273,New York,Urban,1836.0,4,2,2018,0,No,21.74,Good,396800.0
274,Houston,Urban,2918.0,5,1,2011,3,Yes,3.01,Fair,592100.0
275,Chicago,Rural,2835.0,5,3,1953,2,No,3.64,Poor,581200.0
276,Chicago,Urban,3621.0,2,3,1967,0,No,4.26,Poor,644300.0
277,Phoenix,Suburb,3020.0,1,1,2005,0,No,27.18,Excellent,444500.0
278,Chicago,Rural,1298.0,5,1,1973,3,No,16.01,Good,309300.0
279,Chicago,Downtown,3342.0,3,2,2015,2,No,23.85,Good,581000.0
280,Chicago,Rural,1702.0,1,2,1986,3,No,3.9,Excellent,343200.0
281,Los Angeles,Suburb,2193.0,1,1,2011,1,No,27.87,Excellent,340100.0
282,Phoenix,Rural,2700.0,5,1,2003,1,No,24.72,Good,503000.0
283,New York,Rural,4097.0,3,3,1964,0,Yes,7.13,Good,762000.0
284,Houston,Suburb,4462.375,2,1,2018,2,Yes,26.29,Fair,808500.0
285,New York,Rural,2985.0,5,1,1952,1,Yes,8.27,Fair,545500.0
286,Phoenix,Suburb,2353.0,3,3,1986,3,No,6.56,Good,478500.0
287,Houston,Suburb,2928.0,1,1,1986,1,No,8.3,Good,470300.0
288,Phoenix,Downtown,3210.0,3,2,1952,1,No,27.34,Excellent,534700.0
289,Chicago,Urban,2243.0,1,2,2012,3,Yes,27.51,Good,363400.0
290,Houston,Urban,3936.0,5,3,1984,0,Yes,10.21,Good,773000.0
291,Chicago,Rural,2684.0,5,1,2001,2,Yes,21.31,Good,519800.0
292,New York,Rural,2898.0,4,2,1977,0,Yes,20.43,Fair,538300.0
293,New York,Downtown,3033.0,4,2,1967,3,Yes,24.29,Good,552100.0
294,Houston,Downtown,2837.0,4,2,1985,1,No,9.25,Good,563500.0
295,Houston,Downtown,3171.0,5,2,1982,2,Yes,15.55,Good,593200.0
296,Phoenix,Suburb,2006.0,2,1,2013,0,No,20.2,Good,361400.0
297,Phoenix,Downtown,2053.0,5,1,1975,3,No,1.27,Fair,439200.0
298,Chicago,Downtown,1620.0,3,1,1997,1,No,11.61,Good,362700.0
299,Houston,Rural,2852.0,5,1,1989,1,Yes,21.03,Good,499000.0
300,New York,Downtown,3123.0,5,2,1966,0,Yes,7.95,Good,594900.0
301,Phoenix,Suburb,2866.0,1,3,1989,3,No,28.75,Good,468700.0
302,Phoenix,Suburb,3840.0,1,3,1956,1,Yes,1.39,Poor,656300.0
303,New York,Rural,2496.0,1,2,2006,1,Yes,28.76,Fair,409600.0
304,Phoenix,Downtown,3035.0,5,2,1957,2,No,6.89,Fair,587300.0
305,Chicago,Downtown,1627.0,2,3,2005,1,No,1.94,Good,363200.0
306,Houston,Suburb,2190.0,3,3,1980,0,No,9.13,Good,446900.0
307,New York,Downtown,2499.0,3,2,2008,3,No,23.7,Excellent,549900.0
308,Houston,Downtown,3179.0,2,2,2007,3,No,22.7,Fair,569800.0
309,Phoenix,Downtown,2265.0,2,1,1961,2,Yes,6.66,Poor,426700.0
310,Phoenix,Urban,2443.0,3,1,1997,3,No,6.31,Good,469800.0
311,New York,Rural,1286.0,4,3,1980,0,Yes,19.46,Good,299500.0
312,Chicago,Urban,2214.0,1,2,2012,1,Yes,14.01,Good,391700.0
313,Los Angeles,Rural,3212.0,1,3,2023,2,No,23.87,Excellent,528800.0
314,New York,Suburb,2960.0,3,1,1988,3,No,1.21,Excellent,562900.0
315,Los Angeles,Downtown,2901.0,2,1,1969,2,Yes,18.51,Fair,475000.0
316,Los Angeles,Rural,2540.0,4,3,1997,2,No,22.05,Excellent,505000.0
317,Chicago,Urban,2506.0,3,1,2020,3,Yes,29.8,Fair,444300.0
318,Los Angeles,Downtown,1972.0,1,2,2003,2,No,20.52,Good,333800.0
319,Los Angeles,Suburb,3059.0,5,3,2020,3,No,7.34,Good,624900.0
320,Chicago,Rural,2499.0,2,2,1978,0,Yes,3.69,Good,508400.0
321,Los Angeles,Rural,2894.0,5,2,2023,3,Yes,19.41,Fair,582100.0
322,Los Angeles,Rural,2079.0,3,1,2022,1,No,15.93,Fair,402800.0
323,Los Angeles,Downtown,777.0,1,2,1997,3,No,27.02,Good,122500.0
324,New York,Urban,3378.0,4,3,2023,1,No,21.93,Fair,622000.0
325,New York,Urban,2117.0,5,2,2005,2,Yes,15.54,Poor,453000.0
326,New York,Rural,1810.0,4,2,1966,3,No,12.41,Good,377200.0
327,Chicago,Suburb,3055.0,1,2,1958,1,No,12.43,Good,508100.0
328,Phoenix,Suburb,2186.0,5,2,1983,3,No,7.18,Good,473600.0
329,Los Angeles,Urban,3348.0,4,2,1994,3,No,1.01,Fair,639700.0
330,Los Angeles,Suburb,2994.0,4,1,1958,3,Yes,17.46,Excellent,520200.0
331,Chicago,Urban,3047.0,5,3,1956,0,Yes,6.77,Fair,607500.0
332,Los Angeles,Rural,1407.0,1,1,1965,1,Yes,6.65,Excellent,259500.0
333,New York,Urban,3470.0,4,3,1968,0,No,4.2,Good,654200.0
334,Phoenix,Urban,2709.0,3,3,1955,0,No,6.09,Good,498500.0
335,Houston,Rural,2205.0,5,3,1960,1,No,1.44,Excellent,489400.0
336,Los Angeles,Suburb,2615.0,2,3,2010,3,Yes,20.39,Fair,469700.0
337,New York,Urban,1079.0,2,3,1991,0,Yes,12.34,Fair,260000.0
